dsc_titulo_chamada;dsc_status;carta_txt_num_protocolo;carta_dsc_modalidade;carta_txt_sigla_uf;carta_txt_municipio;carta_dsc_agente_financeiro;carta_nome_proponente;carta_tipo_proponente;carta_txt_nome_empreendimento;carta_vlr_contrapartida;carta_vlr_emprestimo;carta_vlr_investimento
Avançar Cidades Saneamento 2018/2019;Selecionada;00001832.9.3105/2018;Estudos e Projetos;SP;Santa Bárbara d'Oeste;Caixa Econômica Federal;Departamento de Água e Esgoto;Companhia/Empresa de Saneamento;PROJETO EXECUTIVO DA BARRAGEM DO RIBEIRÃO ALAMBARI;68.218,92;1.032.086,27;1.100.305,19
Avançar Cidades Saneamento 2018/2019;Selecionada;00001366.2.2905/2018;Esgotamento Sanitário;MG;Ipuiúna;Caixa Econômica Federal;Companhia de Saneamento de Minas Gerais - Copasa MG;Companhia/Empresa de Saneamento;Ampliação do Sistema de Esgotamento Sanitário;824.600,00;15.667.400,00;16.492.000,00
Avançar Cidades Saneamento 2018/2019;Selecionada;001490.9.2205/2018-R;Estudos e Projetos;PA;Belém;Caixa Econômica Federal;Governo do Estado do Pará;Companhia/Empresa de Saneamento;PROJETO BÁSICO DE AMPLIAÇÃO E MELHORIAS DO SISTEMA DE ESGOTAMENTO SANITÁRIO DO DISTRITO DE MOSQUEIRO, NO MUNICÍPIO DE BELÉM, ESTADO DO PARÁ.;38.750,00;736.250,00;775.000,00
Avançar Cidades Saneamento 2018/2019;Selecionada;001418.2.0705/2018-R;Esgotamento Sanitário;PA;Santarém;Caixa Econômica Federal;Governo do Estado do Pará;Companhia/Empresa de Saneamento;IMPLANTAÇÃO DO SISTEMA DE ESGOTAMENTO SANITÁRIO DO DISTRITO DE ALTER DO CHÃO, NO MUNICÍPIO DE SANTARÉM, ESTADO DO PARÁ;2.580.626,78;49.031.908,10;51.612.534,88
Avançar Cidades Saneamento 2018/2019;Selecionada;001666.1.2905/2018-R;Abastecimento de Água;SP;Embu das Artes;Caixa Econômica Federal;Cia de Saneamento Básico do Estado de São Paulo;Companhia/Empresa de Saneamento;Ampliação da reservação e setorização no município de Embu das Artes.   ;559.797,20;10.635.946,94;11.195.744,14
Avançar Cidades Saneamento 2018/2019;Selecionada;00001677.1.3005/2018;Abastecimento de Água;SP;Arujá;Caixa Econômica Federal;Cia de Saneamento Básico do Estado de São Paulo;Companhia/Empresa de Saneamento;Ampliação da Capacidade de Reservação com a Implantação de Reservatório Metálico de 13.500 m³.;759.171,99;14.183.820,70;14.942.992,69
Avançar Cidades Saneamento 2018/2019;Selecionada;001401.2.3005/2018-R;Esgotamento Sanitário;MS;Caarapó;Caixa Econômica Federal;Empresa de Saneamento de Mato Grosso do Sul S.A;Companhia/Empresa de Saneamento;Ampliação do Sistema de Esgotamento Sanitário no município  de Caarapó - MS;843.126,10;16.019.395,65;16.862.521,75
Avançar Cidades Saneamento 2018/2019;Selecionada;00001375.1.2905/2018;Abastecimento de Água;MG;Ubá;Caixa Econômica Federal;Companhia de Saneamento de Minas Gerais - Copasa MG;Companhia/Empresa de Saneamento;Ampliação do Sistema de Abastecimento de Água;1.653.000,00;31.407.000,00;33.060.000,00
Avançar Cidades Saneamento 2018/2019;Selecionada;00001404.2.3005/2018;Esgotamento Sanitário;MS;Coxim;Caixa Econômica Federal;Empresa de Saneamento de Mato Grosso do Sul S.A;Companhia/Empresa de Saneamento;Ampliação do Sistema de Esgotamento Sanitário no município  de Coxim - MS;798.048,51;15.162.921,50;15.960.970,01
Avançar Cidades Saneamento 2018/2019;Selecionada;001598.1.2405/2018-R;Abastecimento de Água;SP;Nova Odessa;Caixa Econômica Federal;COMPANHIA DE DESENVOLVIMENTO DE NOVA ODESSA;Companhia/Empresa de Saneamento;Sistema de Abastecimento de Água na Região Leste ;400.647,72;7.612.306,56;8.012.954,28
Avançar Cidades Saneamento 2018/2019;Selecionada;00001972.6.1806/2018;Manejo de Resíduos Sólidos;MG;Belo Horizonte;Caixa Econômica Federal;Prefeitura Municipal de Belo Horizonte;Prefeitura Municipal;Ampliação do Programa Municipal de Coleta Seletiva em parceria com  cooperativas e associações de catadores em Belo Horizonte ;968.246,52;18.396.683,86;19.364.930,38
Avançar Cidades Saneamento 2018/2019;Selecionada;00001983.6.1806/2018;Manejo de Resíduos Sólidos;MG;Belo Horizonte;Caixa Econômica Federal;Prefeitura Municipal de Belo Horizonte;Prefeitura Municipal;Reestruturação da infraestrutura para a gestão de resíduos de construção civil e volumosos em Belo Horizonte.;627.660,48;11.925.548,97;12.553.209,45
Avançar Cidades Saneamento 2018/2019;Selecionada;001521.1.3005/2018-R;Abastecimento de Água;MG;Formiga;Caixa Econômica Federal;Município de Formiga;Prefeitura Municipal;Barragem do Rio Formiga - Contenção de Cheias e Abastecimento Público - Projeto de Ampliação;502.517,86;9.463.056,04;9.965.573,90
Avançar Cidades Saneamento 2018/2019;Selecionada;001396.1.0705/2018-R;Abastecimento de Água;PA;Belém;Caixa Econômica Federal;Governo do Estado do Pará;Companhia/Empresa de Saneamento;AMPLIAÇÃO E ADEQUAÇÃO DO SISTEMA DE ABASTECIMENTO DE ÁGUA DO 3º SETOR, ABRANGENDO OS BAIRROS NAZARÉ, UMARIZAL, REDUTO, DOCA E PARTE DO CENTRO, NO MUNICÍPIO DE BELÉM-PA.;678.645,22;12.894.259,12;13.572.904,34
Avançar Cidades Saneamento 2018/2019;Selecionada;00001636.2.1506/2018;Esgotamento Sanitário;CE;Caucaia;Caixa Econômica Federal;Companhia de Água e Esgoto do Ceará - Cagece;Companhia/Empresa de Saneamento;Projeto Básico do Remanescente do Sistema de Esgotamento Sanitário (SES) Vilas e Praias do Cumbuco;1.132.721,65;21.521.711,18;22.654.432,83
Avançar Cidades Saneamento 2018/2019;Selecionada;001784.2.3005/2018-R;Esgotamento Sanitário;MG;Barbacena;Caixa Econômica Federal;Município de Barbacena;Prefeitura Municipal;Construção de ETE e Interceptores;337.317,78;6.398.071,57;6.735.389,35
Avançar Cidades Saneamento 2018/2019;Selecionada;001942.1.1806/2018-R;Abastecimento de Água;SP;Guaíra;Caixa Econômica Federal;Município de Guaíra;Prefeitura Municipal;CONSTRUÇÃO DE RESERVATÓRIO METÁLICO DE 2 CÉLULAS COM CAPACIDADE DE 1500 M3 NO SETOR TONICO GARCIA NO MUNICÍPIO DE GUAÍRA/SP.;97.726,26;1.522.398,36;1.620.124,62
Avançar Cidades Saneamento 2018/2019;Selecionada;001398.1.0705/2018-R;Abastecimento de Água;PA;Belém;Caixa Econômica Federal;Governo do Estado do Pará;Companhia/Empresa de Saneamento;AMPLIAÇÃO DO SISTEMA DE ABASTECIMENTO DE ÁGUA DO CDP - 10º SETOR, NO MUNICÍPIO DE BELÉM, ESTADO DO PARÁ;767.768,81;14.587.507,06;15.355.275,87
Avançar Cidades Saneamento 2018/2019;Selecionada;001760.2.3005/2018-R;Esgotamento Sanitário;MG;Barbacena;Caixa Econômica Federal;Município de Barbacena;Prefeitura Municipal;Construção de ETE e Interceptores;373.209,44;7.070.989,79;7.444.199,23
Avançar Cidades Saneamento 2018/2019;Selecionada;001735.1.3005/2018-R;Abastecimento de Água;SP;Campinas;Caixa Econômica Federal;Sociedade de Abastecimento de Água e Saneamento S/A;Companhia/Empresa de Saneamento;Substituição de redes de Cimento Amianto no município de Campinas;14.141.478,96;268.688.099,77;282.829.578,73
Avançar Cidades Saneamento 2018/2019;Selecionada;001722.2.3005/2018-R;Esgotamento Sanitário;ES;Castelo;Caixa Econômica Federal;Companhia Espírito Santense de Saneamento;Companhia/Empresa de Saneamento;Ampliação do Sistema de Esgotamento Sanitário de Castelo/ES;2.224.959,50;42.274.229,76;44.499.189,26
Avançar Cidades Saneamento 2018/2019;Selecionada;001441.1.3005/2018-R;Abastecimento de Água;MS;Corumbá;Caixa Econômica Federal;Empresa de Saneamento de Mato Grosso do Sul S.A;Companhia/Empresa de Saneamento;Construção de Dolfins de Proteção para Captação de Água no Município de Corumbá - MS;272.429,33;5.176.157,19;5.448.586,52
Avançar Cidades Saneamento 2018/2019;Selecionada;00001409.2.3005/2018;Esgotamento Sanitário;MS;Iguatemi;Caixa Econômica Federal;Empresa de Saneamento de Mato Grosso do Sul S.A;Companhia/Empresa de Saneamento;Ampliação do Sistema de Esgotamento Sanitário no município  de Iguatemi - MS;393.462,53;7.475.787,91;7.869.250,44
Avançar Cidades Saneamento 2018/2019;Selecionada;001450.2.2505/2018-R;Esgotamento Sanitário;SP;Bastos;Caixa Econômica Federal;Cia de Saneamento Básico do Estado de São Paulo;Companhia/Empresa de Saneamento;Ampliação e melhoria do sistema de afastamento e tratamento de esgotos do município de Bastos;240.453,19;4.568.610,56;4.809.063,75
Avançar Cidades Saneamento 2018/2019;Selecionada;00001528.2.1805/2018;Esgotamento Sanitário;MS;Costa Rica;Caixa Econômica Federal;Município de Costa Rica;Prefeitura Municipal;Ampliação do Sistema de Esgotamento Sanitário no Município de Costa Rica/MS;1.052.013,01;19.988.246,93;21.040.259,94
Avançar Cidades Saneamento 2018/2019;Selecionada;00001556.2.3005/2018;Esgotamento Sanitário;SC;Joinville;Caixa Econômica Federal;Companhia Águas de Joinville;Companhia/Empresa de Saneamento;Ampliação Estação de Tratamento de Esgoto  - ETE Espinheiros;688.695,26;13.085.209,85;13.773.905,11
Avançar Cidades Saneamento 2018/2019;Selecionada;001798.2.1806/2018-R;Esgotamento Sanitário;PE;Recife;Caixa Econômica Federal;Companhia Pernambucana de Saneamento;Companhia/Empresa de Saneamento;Implantação do SES Pina, Boa Viagem e Imbiribeira;1.850.000,00;35.150.000,00;37.000.000,00
Avançar Cidades Saneamento 2018/2019;Selecionada;00001557.A.3005/2018;Redução e Controle de Perdas;SC;Joinville;Caixa Econômica Federal;Companhia Águas de Joinville;Companhia/Empresa de Saneamento;Renovação e Adequação das Redes de Abastecimento de Água nos Distritos de Medição e Controle dos Bairros Jardim Sofia e Bucarein no Município Joinville/SC;632.911,19;12.025.312,53;12.658.223,72
Avançar Cidades Saneamento 2018/2019;Selecionada;00001361.9.1104/2018;Estudos e Projetos;SC;Fraiburgo;BRDE;Prefeitura Municipal de Fraiburgo;Prefeitura Municipal;ESTUDOS E PROJETOS PARA O SISTEMA DE ABASTECIMENTO DE ÁGUA;35.000,00;665.000,00;700.000,00
Avançar Cidades Saneamento 2018/2019;Selecionada;001672.1.2505/2018-R;Abastecimento de Água;SP;Jundiaí;Caixa Econômica Federal;DAE S/A - Água e Esgoto;Companhia/Empresa de Saneamento;Expansão e remanejamento de redes de água no município de Jundiaí;1.600.000,00;12.900.000,00;14.500.000,00
Avançar Cidades Saneamento 2018/2019;Selecionada;001643.1.2505/2018-R;Abastecimento de Água;MG;Três Pontas;Caixa Econômica Federal;Prefeitura Municial de Três Pontas-MG;Prefeitura Municipal;Ampliação do Sistema Sete Cachoeiras (Implantação de nova adutora, reservatório e aumento da capacidade de tratamento);340.524,44;6.469.964,18;6.810.488,62
Avançar Cidades Saneamento 2018/2019;Selecionada;00001707.9.0106/2018;Estudos e Projetos;RS;Porto Alegre;BRDE;Municipio de Porto Alegre ;Prefeitura Municipal;CENTRAL DE TRATAMENTO DE RESÍDUOS SÓLIDOS URBANOS;220.000,00;4.180.000,00;4.400.000,00
Avançar Cidades Saneamento 2018/2019;Selecionada;00001380.2.3005/2018;Esgotamento Sanitário;MS;Anaurilândia;Caixa Econômica Federal;Empresa de Saneamento de Mato Grosso do Sul S.A;Companhia/Empresa de Saneamento;Ampliação do Sistema de Esgotamento Sanitário no município  de Anaurilândia - MS;160.820,05;3.055.580,84;3.216.400,89
Avançar Cidades Saneamento 2018/2019;Selecionada;00001384.2.3005/2018;Esgotamento Sanitário;MS;Anastácio;Caixa Econômica Federal;Empresa de Saneamento de Mato Grosso do Sul S.A;Companhia/Empresa de Saneamento;Ampliação do Sistema de Esgotamento Sanitário no município de Anastácio;326.682,55;6.206.968,26;6.533.650,81
Avançar Cidades Saneamento 2018/2019;Selecionada;001413.2.2305/2018-R;Esgotamento Sanitário;MS;Ivinhema;Caixa Econômica Federal;Empresa de Saneamento de Mato Grosso do Sul S.A;Companhia/Empresa de Saneamento;Ampliação do Sistema de Esgotamento Sanitário no município  de Ivinhema - MS;1.151.445,37;21.877.461,87;23.028.907,24
Avançar Cidades Saneamento 2018/2019;Selecionada;001773.9.1806/2018-R;Estudos e Projetos;CE;Baturité;Caixa Econômica Federal;Companhia de Água e Esgoto do Ceará - Cagece;Companhia/Empresa de Saneamento;Elaboração de estudo de concepção e projeto básico para ampliação e melhorias do sistema de esgotamento sanitário de Baturité - CE;46.667,69;886.685,96;933.353,65
Avançar Cidades Saneamento 2018/2019;Selecionada;001432.2.3005/2018-R;Esgotamento Sanitário;MS;Nioaque;Caixa Econômica Federal;Empresa de Saneamento de Mato Grosso do Sul S.A;Companhia/Empresa de Saneamento;Ampliação do Sistema de Esgotamento Sanitário no município  de Nioaque - MS;560.269,51;10.645.120,60;11.205.390,11
Avançar Cidades Saneamento 2018/2019;Selecionada;001481.9.0705/2018-R;Estudos e Projetos;PA;Belém;Caixa Econômica Federal;Governo do Estado do Pará;Companhia/Empresa de Saneamento;AMPLIAÇÃO E MELHORIAS DO SISTEMA DE ABASTECIMENTO DE ÁGUA DO DISTRITO DE MOSQUEIRO, NO MUNICÍPIO DE BELÉM, ESTADO DO PARÁ.;66.754,43;1.268.334,11;1.335.088,54
Avançar Cidades Saneamento 2018/2019;Selecionada;00001498.9.1806/2018;Estudos e Projetos;CE;Itapipoca;Caixa Econômica Federal;Companhia de Água e Esgoto do Ceará - Cagece;Companhia/Empresa de Saneamento;Elaboração de Estudos e Projetos – Ampliação SES Itapipoca;76.883,48;1.460.786,05;1.537.669,53
Avançar Cidades Saneamento 2018/2019;Selecionada;001611.9.1506/2018-R;Estudos e Projetos;CE;Fortaleza;Caixa Econômica Federal;Companhia de Água e Esgoto do Ceará - Cagece;Companhia/Empresa de Saneamento;Elaboração de Estudo de Concepção e Projeto Básico completo do Interceptor Oceânico Leste (IL) no município de Fortaleza/CE;98.445,12;1.870.457,14;1.968.902,26
Avançar Cidades Saneamento 2018/2019;Selecionada;001385.2.3005/2018-R;Esgotamento Sanitário;MS;Aparecida do Taboado;Caixa Econômica Federal;Empresa de Saneamento de Mato Grosso do Sul S.A;Companhia/Empresa de Saneamento;Ampliação do Sistema de Esgotamento Sanitário no município  de Aparecida do Taboado - MS;733.079,82;13.928.516,57;14.661.596,39
Avançar Cidades Saneamento 2018/2019;Selecionada;001776.5.3005/2018-R;Manejo de Águas Pluviais;SP;Bertioga;Caixa Econômica Federal;prefeitura municipal de bertioga;Prefeitura Municipal;macro e micro drenagem do bairro rio da praia;1.292.246,30;24.552.679,69;25.844.925,99
Avançar Cidades Saneamento 2018/2019;Selecionada;001400.2.3005/2018-R;Esgotamento Sanitário;MS;Brasilândia;Caixa Econômica Federal;Empresa de Saneamento de Mato Grosso do Sul S.A;Companhia/Empresa de Saneamento;Ampliação do Sistema de Esgotamento Sanitário no município  de Brasilândia - MS;430.814,70;8.185.479,26;8.616.293,96
Avançar Cidades Saneamento 2018/2019;Selecionada;00001412.2.3005/2018;Esgotamento Sanitário;MS;Itaporã;Caixa Econômica Federal;Empresa de Saneamento de Mato Grosso do Sul S.A;Companhia/Empresa de Saneamento;Ampliação do Sistema de Esgotamento Sanitário no município  de Itaporã - MS;556.143,29;10.566.722,45;11.122.865,74
Avançar Cidades Saneamento 2018/2019;Selecionada;001718.5.1806/2018-R;Manejo de Águas Pluviais;MS;Três Lagoas;Caixa Econômica Federal;Prefeitura Municipal de Três Lagoas;Prefeitura Municipal;Implantação Drenagem Urbana Sustentável;4.824.230,96;43.809.000,05;48.633.231,01
Avançar Cidades Saneamento 2018/2019;Selecionada;001562.1.1506/2018-R;Abastecimento de Água;CE;Caucaia;Caixa Econômica Federal;Companhia de Água e Esgoto do Ceará - Cagece;Companhia/Empresa de Saneamento;Projeto básico do remanescente do Sistema de Abastecimento de Água da Vila e Praias do Cumbuco;792.201,80;15.051.834,03;15.844.035,83
Avançar Cidades Saneamento 2018/2019;Selecionada;001837.2.1506/2018-R;Esgotamento Sanitário;CE;Fortaleza;Caixa Econômica Federal;Companhia de Água e Esgoto do Ceará - Cagece;Companhia/Empresa de Saneamento;Sistema de Esgotamento Sanitário de Fortaleza –Bacias do Cocó: CD-1, CD-2 E CD-3 (META 2);4.486.523,35;85.243.943,31;89.730.466,66
Avançar Cidades Saneamento 2018/2019;Selecionada;00001403.2.3005/2018;Esgotamento Sanitário;MS;Caracol;Caixa Econômica Federal;Empresa de Saneamento de Mato Grosso do Sul S.A;Companhia/Empresa de Saneamento;Ampliação do Sistema de Esgotamento Sanitário no município  de Caracol - MS;372.376,16;7.075.146,90;7.447.523,06
Avançar Cidades Saneamento 2018/2019;Selecionada;00001439.2.3005/2018;Esgotamento Sanitário;MS;Santa Rita do Pardo;Caixa Econômica Federal;Empresa de Saneamento de Mato Grosso do Sul S.A;Companhia/Empresa de Saneamento;Ampliação do Sistema de Esgotamento Sanitário no município  de Santa Rita do Pardo - MS;207.347,94;3.939.610,73;4.146.958,67
Avançar Cidades Saneamento 2018/2019;Selecionada;00001499.9.1806/2018;Estudos e Projetos;CE;São Gonçalo do Amarante;Caixa Econômica Federal;Companhia de Água e Esgoto do Ceará - Cagece;Companhia/Empresa de Saneamento;Elaboração de Estudos e Projetos – Ampliação SES São Gonçalo do Amarante;48.925,92;929.592,42;978.518,34
Avançar Cidades Saneamento 2018/2019;Selecionada;00001368.2.2905/2018;Esgotamento Sanitário;MG;Leandro Ferreira;Caixa Econômica Federal;Companhia de Saneamento de Minas Gerais - Copasa MG;Companhia/Empresa de Saneamento;Ampliação do Sistema de Esgotamento Sanitário;299.200,00;5.684.800,00;5.984.000,00
Avançar Cidades Saneamento 2018/2019;Selecionada;001402.2.3005/2018-R;Esgotamento Sanitário;MS;Camapuã;Caixa Econômica Federal;Empresa de Saneamento de Mato Grosso do Sul S.A;Companhia/Empresa de Saneamento;Ampliação do Sistema de Esgotamento Sanitário no município  de Camapuã - MS;460.309,60;8.745.882,26;9.206.191,86
Avançar Cidades Saneamento 2018/2019;Selecionada;001891.1.1806/2018-R;Abastecimento de Água;CE;Campos Sales;Caixa Econômica Federal;Companhia de Água e Esgoto do Ceará - Cagece;Companhia/Empresa de Saneamento;Projeto Básico  de Ampliação do Sistema de Abastecimento de Água de Campos Sales;1.724.981,75;32.774.653,34;34.499.635,09
Avançar Cidades Saneamento 2018/2019;Selecionada;001981.2.1806/2018-R;Esgotamento Sanitário;MT;Rondonópolis;Caixa Econômica Federal;Município de Rondonópolis-Estado de Mato Grosso;Prefeitura Municipal;Ampliação do Sistema de Esgotamento Sanitário;344.903,39;6.534.164,77;6.879.068,16
Avançar Cidades Saneamento 2018/2019;Selecionada;00001374.1.2905/2018;Abastecimento de Água;MG;Paracatu;Caixa Econômica Federal;Companhia de Saneamento de Minas Gerais - Copasa MG;Companhia/Empresa de Saneamento;Ampliação do Sistema de Abastecimento de Água;530.000,00;10.070.000,00;10.600.000,00
Avançar Cidades Saneamento 2018/2019;Selecionada;00001998.9.1806/2018;Estudos e Projetos;SP;Jacareí;Caixa Econômica Federal;Município de Jacareí;Prefeitura Municipal;ELABORAÇÃO DE PROJETO EXECUTIVO PARA IMPLANTAÇÃO DO SISTEMA DE ESGOTAMENTO SANITÁRIO DE PARTE DAS BACIAS B2.5 E B4.2;29.265,03;556.035,45;585.300,48
Avançar Cidades Saneamento 2018/2019;Selecionada;00001410.2.3005/2018;Esgotamento Sanitário;MS;Inocência;Caixa Econômica Federal;Empresa de Saneamento de Mato Grosso do Sul S.A;Companhia/Empresa de Saneamento;Ampliação do Sistema de Esgotamento Sanitário no município  de Inocência - MS;343.939,55;6.534.851,32;6.878.790,87
Avançar Cidades Saneamento 2018/2019;Selecionada;00001673.1.2505/2018;Abastecimento de Água;SP;Jundiaí;Caixa Econômica Federal;DAE S/A - Água e Esgoto;Companhia/Empresa de Saneamento;Ampliação de Reservatórios de Água Tratada;1.350.000,00;10.050.000,00;11.400.000,00
Avançar Cidades Saneamento 2018/2019;Selecionada;00001405.2.3005/2018;Esgotamento Sanitário;MS;Dois Irmãos do Buriti;Caixa Econômica Federal;Empresa de Saneamento de Mato Grosso do Sul S.A;Companhia/Empresa de Saneamento;Ampliação do Sistema de Esgotamento Sanitário no município  de Dois Irmãos do Buriti - MS;130.523,88;2.479.953,64;2.610.477,52
Avançar Cidades Saneamento 2018/2019;Selecionada;001996.2.1806/2018-R;Esgotamento Sanitário;MT;Rondonópolis;Caixa Econômica Federal;Município de Rondonópolis-Estado de Mato Grosso;Prefeitura Municipal;Ampliação do Sistema de Esgotamento Sanitário;660.001,47;12.513.679,60;13.173.681,07
Avançar Cidades Saneamento 2018/2019;Selecionada;001416.2.3005/2018-R;Esgotamento Sanitário;MS;Ladário;Caixa Econômica Federal;Empresa de Saneamento de Mato Grosso do Sul S.A;Companhia/Empresa de Saneamento;Ampliação do Sistema de Esgotamento Sanitário no município  de Ladário - MS;178.925,78;3.399.589,81;3.578.515,59
Avançar Cidades Saneamento 2018/2019;Selecionada;001373.2.2905/2018-R;Esgotamento Sanitário;MG;Pirajuba;Caixa Econômica Federal;Companhia de Saneamento de Minas Gerais - Copasa MG;Companhia/Empresa de Saneamento;Ampliação do Sistema de Esgotamento Sanitário;246.750,00;4.688.250,00;4.935.000,00
Avançar Cidades Saneamento 2018/2019;Selecionada;001419.2.3005/2018-R;Esgotamento Sanitário;MS;Miranda;Caixa Econômica Federal;Empresa de Saneamento de Mato Grosso do Sul S.A;Companhia/Empresa de Saneamento;Ampliação do Sistema de Esgotamento Sanitário no município  de Miranda - MS;646.041,26;12.274.783,85;12.920.825,11
Avançar Cidades Saneamento 2018/2019;Selecionada;00001415.2.3005/2018;Esgotamento Sanitário;MS;Japorã;Caixa Econômica Federal;Empresa de Saneamento de Mato Grosso do Sul S.A;Companhia/Empresa de Saneamento;Ampliação do Sistema de Esgotamento Sanitário no município  de Japorã - MS;146.617,65;2.785.735,21;2.932.352,86
Avançar Cidades Saneamento 2018/2019;Selecionada;001605.1.2905/2018-R;Abastecimento de Água;SP;Ribeirão Pires;Caixa Econômica Federal;Cia de Saneamento Básico do Estado de São Paulo;Companhia/Empresa de Saneamento;Ampliação de reservação no município de Ribeirão Pires  ;361.122,00;3.250.105,09;3.611.227,09
Avançar Cidades Saneamento 2018/2019;Selecionada;00001875.1.1806/2018;Abastecimento de Água;SP;Botucatu;Caixa Econômica Federal;Prefeitura Municipal de Botucatu;Prefeitura Municipal;Construção da Represa do Rio Pardo.;2.250.000,00;42.750.000,00;45.000.000,00
Avançar Cidades Saneamento 2018/2019;Selecionada;001523.1.1806/2018-R;Abastecimento de Água;CE;Cascavel;Caixa Econômica Federal;Companhia de Água e Esgoto do Ceará - Cagece;Companhia/Empresa de Saneamento;Projeto Básico do Sistema Integrado de Abastecimento de Água de Beberibe/Cascavel/Guanacés;1.011.960,14;19.227.242,73;20.239.202,87
Avançar Cidades Saneamento 2018/2019;Selecionada;00001438.2.3005/2018;Esgotamento Sanitário;MS;Rio Verde de Mato Grosso;Caixa Econômica Federal;Empresa de Saneamento de Mato Grosso do Sul S.A;Companhia/Empresa de Saneamento;Ampliação do Sistema de Esgotamento Sanitário no município  de Rio Verde de Mato Grosso - MS;192.596,15;3.659.326,69;3.851.922,84
